Date,SPY,EFA,EEM,EMB,HYG,LQD
1993-01-29,24.452528,NA,NA,NA,NA,NA
1993-02-01,24.626438,NA,NA,NA,NA,NA
1993-02-02,24.678600,NA,NA,NA,NA,NA
1993-02-03,24.939486,NA,NA,NA,NA,NA
1993-02-04,25.043842,NA,NA,NA,NA,NA
1993-02-05,25.026438,NA,NA,NA,NA,NA
1993-02-08,25.026438,NA,NA,NA,NA,NA
1993-02-09,24.852522,NA,NA,NA,NA,NA
1993-02-10,24.887297,NA,NA,NA,NA,NA
1993-02-11,25.009037,NA,NA,NA,NA,NA
1993-02-12,24.817734,NA,NA,NA,NA,NA
1993-02-16,24.191648,NA,NA,NA,NA,NA
1993-02-17,24.174248,NA,NA,NA,NA,NA
1993-02-18,24.156847,NA,NA,NA,NA,NA
1993-02-19,24.243818,NA,NA,NA,NA,NA
1993-02-22,24.330784,NA,NA,NA,NA,NA
1993-02-23,24.313389,NA,NA,NA,NA,NA
1993-02-24,24.626438,NA,NA,NA,NA,NA
1993-02-25,24.678600,NA,NA,NA,NA,NA
1993-02-26,24.713394,NA,NA,NA,NA,NA
1993-03-01,24.643826,NA,NA,NA,NA,NA
1993-03-02,25.009037,NA,NA,NA,NA,NA
1993-03-03,25.113413,NA,NA,NA,NA,NA
1993-03-04,24.974264,NA,NA,NA,NA,NA
1993-03-05,24.904690,NA,NA,NA,NA,NA
1993-03-08,25.461220,NA,NA,NA,NA,NA
1993-03-09,25.374264,NA,NA,NA,NA,NA
1993-03-10,25.426449,NA,NA,NA,NA,NA
1993-03-11,25.356871,NA,NA,NA,NA,NA
1993-03-12,25.096018,NA,NA,NA,NA,NA
1993-03-15,25.217743,NA,NA,NA,NA,NA
1993-03-16,25.217743,NA,NA,NA,NA,NA
1993-03-17,25.061220,NA,NA,NA,NA,NA
1993-03-18,25.217743,NA,NA,NA,NA,NA
1993-03-19,25.179581,NA,NA,NA,NA,NA
1993-03-22,25.039791,NA,NA,NA,NA,NA
1993-03-23,25.092209,NA,NA,NA,NA,NA
1993-03-24,25.092209,NA,NA,NA,NA,NA
1993-03-25,25.249475,NA,NA,NA,NA,NA
1993-03-26,25.109686,NA,NA,NA,NA,NA
1993-03-29,25.214540,NA,NA,NA,NA,NA
1993-03-30,25.284430,NA,NA,NA,NA,NA
1993-03-31,25.266958,NA,NA,NA,NA,NA
1993-04-01,25.179581,NA,NA,NA,NA,NA
1993-04-02,24.655371,NA,NA,NA,NA,NA
1993-04-05,24.777676,NA,NA,NA,NA,NA
1993-04-06,24.707808,NA,NA,NA,NA,NA
1993-04-07,24.795160,NA,NA,NA,NA,NA
1993-04-08,24.760216,NA,NA,NA,NA,NA
1993-04-12,25.109686,NA,NA,NA,NA,NA
1993-04-13,25.162113,NA,NA,NA,NA,NA
1993-04-14,25.127155,NA,NA,NA,NA,NA
1993-04-15,25.127155,NA,NA,NA,NA,NA
1993-04-16,25.127155,NA,NA,NA,NA,NA
1993-04-19,25.022310,NA,NA,NA,NA,NA
1993-04-20,24.900007,NA,NA,NA,NA,NA
1993-04-21,24.882528,NA,NA,NA,NA,NA
1993-04-22,24.568005,NA,NA,NA,NA,NA
1993-04-23,24.463165,NA,NA,NA,NA,NA
1993-04-26,24.270943,NA,NA,NA,NA,NA
1993-04-27,24.533060,NA,NA,NA,NA,NA
1993-04-28,24.480637,NA,NA,NA,NA,NA
1993-04-29,24.585470,NA,NA,NA,NA,NA
1993-04-30,24.620426,NA,NA,NA,NA,NA
1993-05-03,24.777676,NA,NA,NA,NA,NA
1993-05-04,24.865049,NA,NA,NA,NA,NA
1993-05-05,24.934952,NA,NA,NA,NA,NA
1993-05-06,24.847597,NA,NA,NA,NA,NA
1993-05-07,24.795160,NA,NA,NA,NA,NA
1993-05-10,24.847597,NA,NA,NA,NA,NA
1993-05-11,24.952414,NA,NA,NA,NA,NA
1993-05-12,24.917479,NA,NA,NA,NA,NA
1993-05-13,24.620426,NA,NA,NA,NA,NA
1993-05-14,24.602945,NA,NA,NA,NA,NA
1993-05-17,24.690323,NA,NA,NA,NA,NA
1993-05-18,24.672852,NA,NA,NA,NA,NA
1993-05-19,25.179581,NA,NA,NA,NA,NA
1993-05-20,25.249475,NA,NA,NA,NA,NA
1993-05-21,25.022310,NA,NA,NA,NA,NA
1993-05-24,25.127155,NA,NA,NA,NA,NA
1993-05-25,25.179581,NA,NA,NA,NA,NA
1993-05-26,25.494102,NA,NA,NA,NA,NA
1993-05-27,25.406740,NA,NA,NA,NA,NA
1993-05-28,25.284430,NA,NA,NA,NA,NA
1993-06-01,25.529051,NA,NA,NA,NA,NA
1993-06-02,25.494102,NA,NA,NA,NA,NA
1993-06-03,25.406740,NA,NA,NA,NA,NA
1993-06-04,25.319363,NA,NA,NA,NA,NA
1993-06-07,25.232012,NA,NA,NA,NA,NA
1993-06-08,25.004835,NA,NA,NA,NA,NA
1993-06-09,25.092209,NA,NA,NA,NA,NA
1993-06-10,25.109686,NA,NA,NA,NA,NA
1993-06-11,25.214540,NA,NA,NA,NA,NA
1993-06-14,25.179581,NA,NA,NA,NA,NA
1993-06-15,25.127155,NA,NA,NA,NA,NA
1993-06-16,25.179581,NA,NA,NA,NA,NA
1993-06-17,25.266958,NA,NA,NA,NA,NA
1993-06-18,25.058872,NA,NA,NA,NA,NA
1993-06-21,25.111670,NA,NA,NA,NA,NA
1993-06-22,25.129263,NA,NA,NA,NA,NA
1993-06-23,24.900488,NA,NA,NA,NA,NA
1993-06-24,25.234850,NA,NA,NA,NA,NA
1993-06-25,25.217257,NA,NA,NA,NA,NA
1993-06-28,25.498804,NA,NA,NA,NA,NA
1993-06-29,25.375635,NA,NA,NA,NA,NA
1993-06-30,25.375635,NA,NA,NA,NA,NA
1993-07-01,25.305243,NA,NA,NA,NA,NA
1993-07-02,25.164463,NA,NA,NA,NA,NA
1993-07-06,24.900488,NA,NA,NA,NA,NA
1993-07-07,24.970888,NA,NA,NA,NA,NA
1993-07-08,25.252451,NA,NA,NA,NA,NA
1993-07-09,25.322840,NA,NA,NA,NA,NA
1993-07-12,25.305243,NA,NA,NA,NA,NA
1993-07-13,25.287645,NA,NA,NA,NA,NA
1993-07-14,25.375635,NA,NA,NA,NA,NA
1993-07-15,25.270046,NA,NA,NA,NA,NA
1993-07-16,25.199652,NA,NA,NA,NA,NA
1993-07-19,25.182053,NA,NA,NA,NA,NA
1993-07-20,25.252451,NA,NA,NA,NA,NA
1993-07-21,25.234850,NA,NA,NA,NA,NA
1993-07-22,25.058872,NA,NA,NA,NA,NA
1993-07-23,25.182053,NA,NA,NA,NA,NA
1993-07-26,25.322840,NA,NA,NA,NA,NA
1993-07-27,25.305243,NA,NA,NA,NA,NA
1993-07-28,25.252451,NA,NA,NA,NA,NA
1993-07-29,25.393238,NA,NA,NA,NA,NA
1993-07-30,25.252451,NA,NA,NA,NA,NA
